age_group;sex;ancestry;district;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;avg_income_dkk_2008;avg_income_dkk_2009;avg_income_dkk_2010;avg_income_dkk_2011;avg_income_dkk_2012;avg_income_dkk_2013;avg_income_dkk_2014;avg_income_dkk_2015;avg_income_dkk_2016;avg_income_dkk_2017;avg_income_dkk_2018;avg_income_dkk_2019;avg_income_dkk_2020;avg_income_dkk_2021;avg_income_dkk_2022;avg_income_dkk_2023;avg_income_dkk_2024
Years in total;Sex total;Ancestry total;Copenhagen total;469863;475035;481556;485609;490043;494221;497888;499154;499967;500494;500820;499895;503688;509861;518574;528208;539542;549050;559440;569557;580184;591481;602481;613288;623404;632340;638117;644431;653664;659350;667099;173475;177821;191577;196833;200886;206286;212311;218440;223635;229793;237224;245734;257297;272650;271940;287039;303697
Years in total;Sex total;Ancestry total;Indre By;41340;41544;42175;42483;43188;43457;43727;43848;44205;44438;44522;44599;45422;45664;46405;47505;48490;49742;50527;51235;51930;53596;54915;55490;56171;55858;56291;56233;56450;56662;57100;173475;177821;191577;196833;200886;206286;212311;218440;223635;229793;237224;245734;257297;272650;271940;287039;303697
Years in total;Sex total;Ancestry total;Østerbro;63207;64045;65276;65603;66087;66456;66684;66788;67339;67332;67519;67241;67337;67964;68769;69951;70938;72400;73388;74427;75105;76402;77973;79277;79326;79799;80158;79951;80608;81272;81189;173475;177821;191577;196833;200886;206286;212311;218440;223635;229793;237224;245734;257297;272650;271940;287039;303697
Years in total;Sex total;Ancestry total;Nørrebro;68508;69517;70631;71205;72156;72712;73286;73571;73528;73221;72789;71549;71318;71561;71892;72888;74130;75378;76564;77768;78785;79666;79947;80560;80595;80251;79218;78587;78585;79070;79676;173475;177821;191577;196833;200886;206286;212311;218440;223635;229793;237224;245734;257297;272650;271940;287039;303697
Years in total;Sex total;Ancestry total;Vesterbro/Kongens Enghave;47336;47408;48023;48944;49353;50103;50542;50851;50815;50646;50440;50140;50965;51466;53351;55315;57150;58411;59211;60307;61605;62966;65192;67878;69782;72686;74556;77283;79644;80920;81642;173475;177821;191577;196833;200886;206286;212311;218440;223635;229793;237224;245734;257297;272650;271940;287039;303697
Years in total;Sex total;Ancestry total;Valby;43634;45001;45277;45669;46002;46100;46095;46159;46109;46089;45976;45506;45199;45468;46367;47106;47839;48673;49656;50934;51720;52808;54562;56275;58294;60304;62021;64145;66439;65768;65485;173475;177821;191577;196833;200886;206286;212311;218440;223635;229793;237224;245734;257297;272650;271940;287039;303697
Years in total;Sex total;Ancestry total;Vanløse;34885;35024;35221;35441;35564;35775;36002;36166;36190;36134;36206;36101;35783;35890;36115;36577;37115;37891;38609;39202;39531;40358;40655;40841;41204;41194;40998;40781;40633;40707;40706;173475;177821;191577;196833;200886;206286;212311;218440;223635;229793;237224;245734;257297;272650;271940;287039;303697
Years in total;Sex total;Ancestry total;Brønshøj-Husum;37352;37365;38494;39017;39370;39602;39804;39929;39904;39971;39743;39544;39446;39412;39587;39828;40490;41340;42278;43015;43895;44367;44595;44744;45093;44784;44432;44004;43933;44465;44190;173475;177821;191577;196833;200886;206286;212311;218440;223635;229793;237224;245734;257297;272650;271940;287039;303697
Years in total;Sex total;Ancestry total;Bispebjerg;41693;42535;43021;43173;43519;44118;44558;45037;44836;44978;44837;44842;45539;46391;47199;47982;49362;50529;51488;52444;53582;54583;55131;55226;55469;55163;54459;53844;54345;54972;55006;173475;177821;191577;196833;200886;206286;212311;218440;223635;229793;237224;245734;257297;272650;271940;287039;303697
Years in total;Sex total;Ancestry total;Amager Øst;46092;46397;46681;46808;47179;47448;48142;48293;48369;48527;48619;48441;48427;48879;49705;50254;50900;51542;52456;53272;55199;55987;56744;57667;59035;59800;60871;61192;62195;62806;62966;173475;177821;191577;196833;200886;206286;212311;218440;223635;229793;237224;245734;257297;272650;271940;287039;303697
